Removed Pin From Net: NetName=V_SCP Pin=U2-1
Removed Pin From Net: NetName=NetJ3_1 Pin=U2-2
Removed Pin From Net: NetName=GND Pin=U2-3
Removed Pin From Net: NetName=+5V Pin=U2-4
Removed Pin From Net: NetName=NetP3_6 Pin=U2-5
Removed Pin From Net: NetName=NetP3_5 Pin=U2-6
Removed Pin From Net: NetName=+5V Pin=U2-7
Removed Pin From Net: NetName=GND Pin=U2-8
Removed Pin From Net: NetName=V_SCP Pin=U3-1
Removed Pin From Net: NetName=NetJ4_1 Pin=U3-2
Removed Pin From Net: NetName=GND Pin=U3-3
Removed Pin From Net: NetName=+5V Pin=U3-4
Removed Pin From Net: NetName=NetP3_6 Pin=U3-5
Removed Pin From Net: NetName=NetP3_5 Pin=U3-6
Removed Pin From Net: NetName=NetP3_5 Pin=U3-7
Removed Pin From Net: NetName=GND Pin=U3-8
Removed Member From Class: ClassName=SCP_Controller Member=U2
Removed Member From Class: ClassName=SCP_Controller Member=U3
Change Component Designator: OldDesignator=U? NewDesignator=U1
Change component parameters: Designator = "U?" ("U1"); Footprint = "D0008A_L"; UniqueID = "\RBUZCJXC" ("\RBUZCJXC")
Add component (AddParameter): Name = "RoHS"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Small-Signal Bandwidth(Typ)(MHz)"; Value = "0.011"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Stock 1"; Value = "5271"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "SubFamily"; Value = "Current Shunt Monitor"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier 1"; Value = "Digi-Key"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Supplier Part Number 1"; Value = "296-23978-1-ND"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Voltage Input Range (Bus)"; Value = ""; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vs(Max)(V)"; Value = "5.5"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Vs(Min)(V)"; Value = "3"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Weight"; Value = "0.002561oz"; VariantName = "[No Variations]"
Added Pin To Net: NetName=GND Pin=U?-1
Added Pin To Net: NetName=GND Pin=U?-1
Added Pin To Net: NetName=+5V Pin=U?-2
Added Pin To Net: NetName=NetP3_5 Pin=U?-2
Added Pin To Net: NetName=NetP3_5 Pin=U?-3
Added Pin To Net: NetName=NetP3_5 Pin=U?-3
Added Pin To Net: NetName=NetP3_6 Pin=U?-4
Added Pin To Net: NetName=NetP3_6 Pin=U?-4
Added Pin To Net: NetName=+5V Pin=U?-5
Added Pin To Net: NetName=+5V Pin=U?-5
Added Pin To Net: NetName=GND Pin=U?-6
Added Pin To Net: NetName=GND Pin=U?-6
Added Pin To Net: NetName=NetJ3_1 Pin=U?-7
Added Pin To Net: NetName=NetJ4_1 Pin=U?-7
Added Pin To Net: NetName=V_SCP Pin=U?-8
Added Pin To Net: NetName=V_SCP Pin=U?-8
Added Member To Class: ClassName=SCP_Controller Member=Component U? INA219AIDR
Added Member To Class: ClassName=SCP_Controller Member=Component U? INA219AIDR
